Economy,Year,Economy Code,"Population, total"
Nauru,2022,NRU,12668
New Zealand,2022,NZL,5124100
Oman,2022,OMN,4576298
Pakistan,2022,PAK,235824862
Panama,2022,PAN,4408581
Peru,2022,PER,34049588
Philippines,2022,PHL,115559009
Palau,2022,PLW,18055
Papua New Guinea,2022,PNG,10142619
Poland,2022,POL,37561599
Puerto Rico,2022,PRI,3221789
"Korea, Dem. People's Rep.",2022,PRK,26069416
Portugal,2022,PRT,10379007
Paraguay,2022,PRY,6780744
West Bank and Gaza,2022,PSE,5043612
French Polynesia,2022,PYF,306279
Qatar,2022,QAT,2695122
Romania,2022,ROU,18956666
Russian Federation,2022,RUS,143555736
Rwanda,2022,RWA,13776698
Saudi Arabia,2022,SAU,36408820
Sudan,2022,SDN,46874204
Senegal,2022,SEN,17316449
Singapore,2022,SGP,5637022
Solomon Islands,2022,SLB,724273
Sierra Leone,2022,SLE,8605718
El Salvador,2022,SLV,6336392
San Marino,2022,SMR,33660
Somalia,2022,SOM,17597511
Serbia,2022,SRB,6760087
South Sudan,2022,SSD,10913164
Sao Tome and Principe,2022,STP,227380
Suriname,2022,SUR,618040
Slovak Republic,2022,SVK,5431752
Slovenia,2022,SVN,2108732
Sweden,2022,SWE,10486941
Eswatini,2022,SWZ,1201670
Sint Maarten (Dutch part),2022,SXM,43389
Seychelles,2022,SYC,100060
Syrian Arab Republic,2022,SYR,22125249
Turks and Caicos Islands,2022,TCA,45703
Chad,2022,TCD,17723315
Togo,2022,TGO,8848699
Thailand,2022,THA,71697030
Tajikistan,2022,TJK,9952787
Turkmenistan,2022,TKM,6430770
Timor-Leste,2022,TLS,1341296
Tonga,2022,TON,106858
Trinidad and Tobago,2022,TTO,1531044
Tunisia,2022,TUN,12356117
Turkiye,2022,TUR,85341241
Tuvalu,2022,TUV,11312
Tanzania,2022,TZA,65497748
Uganda,2022,UGA,47249585
Ukraine,2022,UKR,38000000
Uruguay,2022,URY,3422794
United States,2022,USA,333287557
Uzbekistan,2022,UZB,35648100
St. Vincent and the Grenadines,2022,VCT,103948
"Venezuela, RB",2022,VEN,28301696
British Virgin Islands,2022,VGB,31305
Virgin Islands (U.S.),2022,VIR,105413
Vietnam,2022,VNM,98186856
Vanuatu,2022,VUT,326740
Samoa,2022,WSM,222382
Kosovo,2022,XKX,1761985
"Yemen, Rep.",2022,YEM,33696614
South Africa,2022,ZAF,59893885
Zambia,2022,ZMB,20017675
Zimbabwe,2022,ZWE,16320537
